name,registration_code,vat,address,phone,email,website,manager,company_type,status,registration_date,share_capital,employees,activities,description,url
"Breitto, UAB",,,"Šilutės pl. 49, ll-as aukštas, LT-94105 Klaipėda",,,,,,,,,,"freight forwarding; air transport, aviation; customs services, customs; logistics services; rail transport; transportation; warehouses; water transport",,https://rekvizitai.vz.lt/en/company/breitto/
"Granito tarpininkai, UAB",,,"Raudondvario pl. 147A, LT-47192 Kaunas",,,,,,,,,,"customs services, customs; export; freight forwarding; import; logistics services; mediation; transportation; warehouses",,https://rekvizitai.vz.lt/en/company/granito_tarpininkai/
"UAB ""Bigbus""",,,"Nemenčinės g. 46, Didžiųjų Kabiškių k., LT-15153 Vilniaus r",,,,,,,,,,"buses, minibuses for rent; car rental; passenger transport; transportation","Bus Rental Services.Passenger transport rental for tours, excursions: bus rental, minibus rentalRoute planning, route cost calcultion, optimal route planningJSC BIGBUS has European union license: LIC-001243-EBKL",https://rekvizitai.vz.lt/en/company/bigbus/
"Autoba, MB",,,"V. Krėvės pr. 115-68, LT-50376 Kaunas",,,,,,,,,,"car transportation; customs services, customs; export; freight forwarding; import; logistics services; mediation; transportation",,https://rekvizitai.vz.lt/en/company/autoba/
"Top transporte, UAB",,,"Palemono g. 82G, LT-52108 Kaunas",,,,,,,,,,"logistics services; air transport, aviation; customs services, customs; freight forwarding; mail services; rail transport; transportation; warehouses","COMPANY DESCRIPTIONTOP TRANSPORTE UAB is an international freight forwarding company providing freight forwarding services from:Lithuania, Latvia, Estonia, Finland to SwitzerlandSwitzerland to Lithuania, Latvia, Estonia and FinlandSERVICES PROVIDED:Transportation of partial and full loadsEXPRESS...",https://rekvizitai.vz.lt/en/company/top_transporte/
"ExpressTrip, UAB",,,"Vaidaugų g. 1-40, LT-95222 Klaipėda",,,,,,,,,,"passenger transport; logistics services; mail services; tourism, travels, services; transportation",,https://rekvizitai.vz.lt/en/company/expresstrip/
"Nėgė, UAB",,,"Europos pr. 83, LT-46333 Kaunas",,,,,,,,,,mail services; logistics services; transportation,"UAB NĖGĖ logistics company provides express delivery services, cargo transportation and integrated logistics services to the Lithuanian market and be neighbouring EU countries. Our aim is to offer the widest possible range of express and high-quality services, quick solutions, and to ensure our clients business...",https://rekvizitai.vz.lt/en/company/nege/
"702 Logistics, UAB",,,"Smolensko g. 19-204, LT-03205 Vilnius",,,,,,,,,,"air transport, aviation; customs services, customs; freight forwarding; logistics services; transportation; warehouses; water transport",,https://rekvizitai.vz.lt/en/company/702_logistics/
"Mažoji transporto kompanija, UAB",,,"Ukmergės g. 306A-19, LT-12102 Vilnius",,,,,,,,,,"landscaping; building materials; building services; concrete products; demolition, drilling; elevators, lifts; engineering networks; flowers and decorative plants; forest and gardening equipment; machinery, equipment, rental; pipework equipment, wastewater treatment; public utilities; rawmaterials; road building, repair, bridges; stone products; tools; transportation; waste management","Landscaping works, environmental management Rental of construction machinery and vehicles Quarry materials",https://rekvizitai.vz.lt/en/company/mazoji_transporto_kompanija/
"Onzė, UAB",,,"Tauralaukio g. 4-11, LT-92347 Klaipėda",,,,,,,,,,"logistics services; customs services, customs; freight forwarding; rail transport; transportation; warehouses; water transport",,https://rekvizitai.vz.lt/en/company/onze/
"Auto4Sale, UAB",,,"Žardupes g. 8-207, LT-95367 Klaipėda",,,,,,,,,,"car transportation; cars; customs services, customs; export; freight forwarding; import; logistics services; mediation; transportation",,https://rekvizitai.vz.lt/en/company/arheva/
"Kauno logistikos agentūra, UAB",,,"Taikos pr. 90, LT-51181 Kaunas",,,,,,,,,,"logistics services; customs services, customs; freight forwarding; transportation; warehouses",,https://rekvizitai.vz.lt/en/company/kauno_logistikos_agentura/
"Pajūrio transporto servisas, UAB",,,"Maironio g. 40-1, Kaunas",,,,,,,,,,"truck sales, parts, service; auto services; car parts; hydraulics, pneumatics; tires, rims; transportation",,https://rekvizitai.vz.lt/en/company/baumos_nuoma/
"Agrologistika, UAB",,,"Tilžės g. 60, LT-91108 Klaipėda",,,,,,,,,,logistics services; export; freight forwarding; transportation; warehouses,"SC “Agrologistika“ specializes in cargo transportation requiring particular temperature needs, along with specializing in international cargo transportation. We deliver food products and goods that are temperature sensitive. We also transport packaged cargo pallets that do not require particular temperature...",https://rekvizitai.vz.lt/en/company/agrologistika/
"Magitu, UAB",,,"Nemuno g. 139, Klaipėda",,,,,,,,,,"metal construction; metal, processing, products; transportation; water transport","TOGETHER WE CAN ACHIEVE GREAT SUCCESS.We have arrived. Just as the end of your worrying days. MAGITU team is here for you in order to listen attentively to your company’s needs and to provide you with the best possible solution. We are well aware that every cargo is unique, with its own sensitivities, properties...",https://rekvizitai.vz.lt/en/company/magitu/
"Mobire Lietuva, UAB",,,"Kareivių g. 11B, LT-09133 Vilnius",,,,,,,,,,"car rental; buses, minibuses for rent; transportation",,https://rekvizitai.vz.lt/en/company/uab_maldon_car_fleet/
"Smart shipping, UAB",,,"Girulių g. 10, LT-12112 Vilnius",,,,,,,,,,"air transport, aviation; customs services, customs; freight forwarding; logistics services; mediation; rail transport; transportation; water transport",,https://rekvizitai.vz.lt/en/company/smart_shipping/
"Transporent, UAB",,,"Konstitucijos pr. 18, LT-09308 Vilnius",,,,,,,,,,"car rental; buses, minibuses for rent; cars; transportation",,https://rekvizitai.vz.lt/en/company/transporent/
"""Arijus"", UAB",,,"Savanorių pr. 192, LT-44151 Kaunas",,,,,,,,,,"logistics services; customs services, customs; freight forwarding; rail transport; transportation; warehouses","ARIJUS is one of the largest freight forwarding and transportation companies in Lithuania, operating successfully since 1992.UAB Arijus is a recognized logistics leader in Lithuania, providing comprehensive freight forwarding services by sea, road, rail, air, and multimodal transport. The company delivers cargo...",https://rekvizitai.vz.lt/en/company/arijus_kaunas/
"UAB ""Sidabrinis voras""",,,"Dvaro g. 162B, Šiauliai",,,,,,,,,,"logistics services; auto services; freight forwarding; transportation; truck sales, parts, service; warehouses",Freight carriage using our own transport vehicles Our own fleet of transport vehicles enables to carry goods without any intermediaries and thus to save time and money as well as to perform assignments quickly and efficiently. Our company carries goods in Europe and Scandinavian countries. The vas majority of our...,https://rekvizitai.vz.lt/en/company/uab_sidabrinis_voras/
"Transona, UAB",,,"Dubysos g. 37, LT-91181 Klaipėda",,,,,,,,,,transportation; logistics services; mail services; moving services,,https://rekvizitai.vz.lt/en/company/transona/
"Baltic Marine Spedition, UAB",,,"Baltijos pr. 12A, LT-94108 Klaipėda",,,,,,,,,,"logistics services; air transport, aviation; customs services, customs; freight forwarding; rail transport; transportation; warehouses; water transport","We provide full and partial truckload shipping services in the European Union, Ukraine, Kazakhstan and Uzbekistan using various types of trucks. Your cargo will be delivered to its destination only by reliable and experienced drivers.The services of the UAB Baltic Marine Spedition are not limited to loading the...",https://rekvizitai.vz.lt/en/company/baltic_marine_spedition/
"UAB ""AUTOBLEIDAS""",,,"Europos pr. 60, LT-46362 Kaunas",,,,,,,,,,transportation; car roadside assistance; logistics services,,https://rekvizitai.vz.lt/en/company/autobleidas/
"UAB ""OGTRANSA""",,,"Vandžiogalos pl. 83, Domeikava, LT-54358 Kauno r",,,,,,,,,,transportation; cars; freight forwarding; logistics services; warehouses,"UAB “OGTRANSA” is a company providing transport and logistics services established in 2011. The company started its activities with just a single vehicle, providing local transportation services. Currently, the company manages over 40 vehicles. Their number is constantly growing and the fleet is constantly updated...",https://rekvizitai.vz.lt/en/company/ogtransa/
"Statkasa, UAB",,,"J. Matuso g. 64, LT-47250 Kaunas",,,,,,,,,,"road building, repair, bridges; building services; machinery, equipment, rental; transportation",,https://rekvizitai.vz.lt/en/company/statkasa/
"Ferry bookings, UAB",,,"R. Kalantos g. 49, LT-52303 Kaunas",,,,,,,,,,water transport; freight forwarding; logistics services; transportation,"UAB Ferry Bookings is a company that specializes in selling ferry, bridge and tunnel tickets and offers over 400 different ferry routes. The company aims to facilitate the purchase of ferry, bridge and tunnel tickets in order to help freight transport reach destination quickly, without any further worries.“Ferry...",https://rekvizitai.vz.lt/en/company/ferry_bookings/
"Miškinta, UAB",,,"Aušros g. 7-38, Varėna",,,,,,,,,,"forestry, forest goods; firewood; transportation; wood and its products",,https://rekvizitai.vz.lt/en/company/uab_miskinta/
